task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
1	35/a546e1	29899	bed (1)	COMPLETED	0	2016-05-02 13:11:30.832	2s	1.9s	-	-	-	-	-
2	64/bb0408	29981	split_bed (1)	COMPLETED	0	2016-05-02 13:11:33.018	2.5s	189ms	0.0%	18.6 MB	83.5 MB	1.9 MB	1.7 KB
6	60/7feb87	30167	samtools_mpileup (17_7579418-17_7579962_regions)	COMPLETED	0	2016-05-02 13:11:36.309	11.3s	7.8s	57.0%	75.1 MB	140.7 MB	72.8 MB	5.4 MB
3	43/1cd3a0	30162	samtools_mpileup (17_7572814-17_7576907_regions)	COMPLETED	0	2016-05-02 13:11:36.266	14.4s	10.7s	51.5%	71.7 MB	140.7 MB	54.2 MB	9.9 MB
5	02/2c9a91	30160	samtools_mpileup (17_7578281-17_7579417_regions)	COMPLETED	0	2016-05-02 13:11:36.278	14.6s	11s	29.6%	62.4 MB	140.7 MB	59.7 MB	234.6 KB
4	d7/b9f1eb	30163	samtools_mpileup (17_7576908-17_7578280_regions)	COMPLETED	0	2016-05-02 13:11:36.284	17s	13.4s	51.0%	69.6 MB	140.7 MB	119.7 MB	9.9 MB
7	b2/d4b7f7	32652	mpileup2table (17_7579418-17_7579962_regions)	COMPLETED	0	2016-05-02 13:11:47.954	13.2s	9.8s	64.0%	7.7 MB	44.7 MB	7.9 MB	744 KB
9	e4/84da1b	32947	mpileup2table (17_7578281-17_7579417_regions)	COMPLETED	0	2016-05-02 13:11:50.984	17s	14.1s	53.3%	7.7 MB	44.6 MB	9.9 MB	744 KB
10	37/2541aa	33525	mpileup2table (17_7576908-17_7578280_regions)	COMPLETED	0	2016-05-02 13:11:53.377	19.5s	17.4s	48.9%	7.8 MB	44.7 MB	14.2 MB	1.8 MB
8	d6/c15d2c	32886	mpileup2table (17_7572814-17_7576907_regions)	COMPLETED	0	2016-05-02 13:11:50.768	22.4s	19.3s	53.0%	7.8 MB	44.7 MB	14.9 MB	744 KB
11	3b/c895bf	34831	R_regression (17_7579418-17_7579962_regions)	COMPLETED	0	2016-05-02 13:12:01.393	14.1s	10s	60.3%	38.8 MB	115.5 MB	5 MB	3.4 KB
12	f5/b0e0a1	35854	R_regression (17_7578281-17_7579417_regions)	COMPLETED	0	2016-05-02 13:12:08.169	7.8s	4.1s	0.0%	27.6 MB	105 MB	3.2 MB	143 B
13	01/7c4fea	37432	R_regression (17_7576908-17_7578280_regions)	COMPLETED	0	2016-05-02 13:12:13.001	10.8s	7.1s	86.5%	40.9 MB	117.3 MB	5.4 MB	203.5 KB
14	1a/48cd24	37461	R_regression (17_7572814-17_7576907_regions)	COMPLETED	0	2016-05-02 13:12:13.282	11.4s	7.6s	106.0%	39.5 MB	115.8 MB	5.2 MB	76.9 KB
15	e9/00c86f	38298	collect_vcf_result (1)	COMPLETED	0	2016-05-02 13:12:24.714	2.2s	2.2s	-	-	-	-	-
